date, pm25, pm10, o3, no2, so2, co
2023/10/23, 47, 26, 21, 12, , 
2023/10/24, 34, 18, 21, 11, , 
2023/10/25, 23, 31, 15, 16, , 
2023/10/26, 34, 28, 25, 12, , 
2023/10/27, 27, 19, 25, 15, , 
2023/10/28, 31, 18, 25, 12, , 
2023/10/29, 36, 29, 21, 22, , 
2023/10/30, 51, 23, 18, 13, , 
2023/10/31, 32, 17, 19, 13, , 
2023/11/1, 30, 31, 24, 11, , 
2023/11/2, 37, 26, 26, 7, , 
2023/11/3, 23, 23, 21, 10, , 
2023/11/4, 33, 15, 26, 5, , 
2023/11/5, 23, 17, 19, 13, , 
2023/11/6, 25, 24, 20, 13, , 
2023/11/7, 27, 28, 21, 15, , 
2023/11/8, 28, 28, 18, 20, , 
2023/11/9, 39, 27, 20, 19, , 
2023/11/10, 40, 21, 14, 21, , 
2023/11/11, 39, 19, 14, 15, , 
2023/11/12, 47, 34, 9, 25, , 
2023/11/13, 53, 37, 9, 21, 1, 
2023/11/14, 45, 29, 10, 22, , 
2023/11/15, 42, 37, 9, 22, , 
2023/11/16, 54, 35, 12, 21, , 
2023/11/17, 54, 25, 20, 14, , 
2023/11/18, 47, 29, 7, 25, , 
2023/11/19, 64, 39, 9, 28, , 
2023/11/20, 94, 39, 17, 21, , 
2023/11/21, 66, 28, 15, 18, , 
2023/11/22, 36, 34, 13, 17, , 
2023/11/23, 39, 44, 17, 18, , 
2023/11/24, 50, 41, 14, 17, , 
2023/11/25, 54, 26, 18, 15, , 
2023/11/26, 44, 44, 13, 17, , 
2023/11/27, 57, 35, 15, 18, , 
2023/11/28, 55, 35, 15, 23, , 
2023/11/29, 66, 40, 11, 25, , 
2023/11/30, 59, 34, 21, 16, , 
2023/12/1, 48, 20, 21, 12, , 
2023/12/2, 29, 16, 17, 10, , 
2023/12/3, 28, 29, 18, 15, , 
2023/12/4, 31, 23, 16, 16, , 
2023/12/5, 43, 22, 14, 16, , 
2023/12/6, 48, 27, 17, 16, , 
2023/12/7, 53, 20, 13, 14, , 
2023/12/8, 46, 17, 17, 16, , 
2023/12/9, 36, 19, 10, 21, , 
2023/12/10, 39, 22, 7, 18, , 
2023/12/11, 43, 25, 8, 20, , 
2023/12/12, 45, 34, 19, 17, , 
2023/12/13, 39, 26, 17, 15, , 
2023/12/14, 26, 28, 11, 26, , 
2023/12/15, 38, 28, 13, 23, 1, 
2023/12/16, 48, 26, 11, 25, 2, 
2023/12/17, 59, 49, 2, 39, 4, 
2023/12/18, 79, 55, 7, 35, 4, 
2023/12/19, 84, 48, 11, 23, 3, 
